sample_id,task_id,task_name,language,prompt_level,llm,repetition,loc,avg_cc,mi,code_smells,acs
S0258,T04,Notification system,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,2.5
S0259,T04,Notification system,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0260,T04,Notification system,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,1.0
S0261,T04,Notification system,python,P2,gpt-4o,1,117,1.0,50.0,0,5.0
S0262,T04,Notification system,python,P2,gpt-4o,2,117,1.0,50.0,0,5.0
S0263,T04,Notification system,python,P2,gpt-4o,3,117,1.0,50.0,0,4.5
S0264,T04,Notification system,python,P2,gpt-4o,4,117,1.0,50.0,0,4.0
S0265,T04,Notification system,python,P2,gpt-4o,5,117,1.0,50.0,0,5.5
S0266,T04,Notification system,python,P2,claude-3.5-sonnet,1,117,1.0,50.0,0,4.5
S0267,T04,Notification system,python,P2,claude-3.5-sonnet,2,117,1.0,50.0,0,5.5
S0268,T04,Notification system,python,P2,claude-3.5-sonnet,3,117,1.0,50.0,0,4.0
S0269,T04,Notification system,python,P2,claude-3.5-sonnet,4,117,1.0,50.0,0,5.0
S0270,T04,Notification system,python,P2,claude-3.5-sonnet,5,117,1.0,50.0,0,5.0
S0271,T04,Notification system,python,P3,gpt-4o,1,162,1.0,50.0,0,6.0
S0272,T04,Notification system,python,P3,gpt-4o,2,162,1.0,50.0,0,5.0
S0273,T04,Notification system,python,P3,gpt-4o,3,162,1.0,50.0,0,5.5
S0274,T04,Notification system,python,P3,gpt-4o,4,162,1.0,50.0,0,7.0
S0275,T04,Notification system,python,P3,gpt-4o,5,162,1.0,50.0,0,5.5
S0276,T04,Notification system,python,P3,claude-3.5-sonnet,1,162,1.0,50.0,0,6.5
S0277,T04,Notification system,python,P3,claude-3.5-sonnet,2,162,1.0,50.0,0,6.0
S0278,T04,Notification system,python,P3,claude-3.5-sonnet,3,162,1.0,50.0,0,6.0
S0279,T04,Notification system,python,P3,claude-3.5-sonnet,4,162,1.0,50.0,0,6.0
S0280,T04,Notification system,python,P3,claude-3.5-sonnet,5,162,1.0,50.0,0,6.0
S0321,T05,Shopping cart,python,P0,gpt-4o,1,36,2.67,63.54,11,0.0
S0322,T05,Shopping cart,python,P0,gpt-4o,2,36,2.67,59.67,11,1.0
S0323,T05,Shopping cart,python,P0,gpt-4o,3,36,2.67,63.54,11,0.0
S0324,T05,Shopping cart,python,P0,gpt-4o,4,36,2.67,63.54,11,1.0
S0325,T05,Shopping cart,python,P0,gpt-4o,5,36,2.67,59.67,11,1.0
S0326,T05,Shopping cart,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,11,0.0
S0327,T05,Shopping cart,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,11,0.0
S0328,T05,Shopping cart,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,11,0.5
S0329,T05,Shopping cart,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,11,1.0
S0330,T05,Shopping cart,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,11,0.5
S0331,T05,Shopping cart,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0332,T05,Shopping cart,python,P1,gpt-4o,2,60,2.0,52.43,27,2.0
S0333,T05,Shopping cart,python,P1,gpt-4o,3,60,2.0,55.6,27,1.0
S0334,T05,Shopping cart,python,P1,gpt-4o,4,60,2.0,55.6,27,1.0
S0335,T05,Shopping cart,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0336,T05,Shopping cart,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.5
S0337,T05,Shopping cart,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,2.0
S0338,T05,Shopping cart,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,1.5
S0339,T05,Shopping cart,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0340,T05,Shopping cart,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,1.5
S0341,T05,Shopping cart,python,P2,gpt-4o,1,116,1.0,50.0,0,4.0
S0342,T05,Shopping cart,python,P2,gpt-4o,2,116,1.0,50.0,0,6.0
S0343,T05,Shopping cart,python,P2,gpt-4o,3,116,1.0,50.0,0,4.5
S0344,T05,Shopping cart,python,P2,gpt-4o,4,116,1.0,50.0,0,6.5
S0345,T05,Shopping cart,python,P2,gpt-4o,5,116,1.0,50.0,0,6.0
S0346,T05,Shopping cart,python,P2,claude-3.5-sonnet,1,116,1.0,50.0,0,5.0
S0347,T05,Shopping cart,python,P2,claude-3.5-sonnet,2,116,1.0,50.0,0,5.5
S0348,T05,Shopping cart,python,P2,claude-3.5-sonnet,3,116,1.0,50.0,0,5.0
S0349,T05,Shopping cart,python,P2,claude-3.5-sonnet,4,116,1.0,50.0,0,5.0
S0350,T05,Shopping cart,python,P2,claude-3.5-sonnet,5,116,1.0,50.0,0,4.5
S0351,T05,Shopping cart,python,P3,gpt-4o,1,159,1.0,50.0,0,6.0
S0352,T05,Shopping cart,python,P3,gpt-4o,2,159,1.0,50.0,0,6.5
S0353,T05,Shopping cart,python,P3,gpt-4o,3,159,1.0,50.0,0,5.5
S0354,T05,Shopping cart,python,P3,gpt-4o,4,159,1.0,50.0,0,6.0
S0355,T05,Shopping cart,python,P3,gpt-4o,5,159,1.0,50.0,0,5.5
S0356,T05,Shopping cart,python,P3,claude-3.5-sonnet,1,159,1.0,50.0,0,5.5
S0357,T05,Shopping cart,python,P3,claude-3.5-sonnet,2,159,1.0,50.0,0,6.0
S0358,T05,Shopping cart,python,P3,claude-3.5-sonnet,3,159,1.0,50.0,0,6.0
S0359,T05,Shopping cart,python,P3,claude-3.5-sonnet,4,159,1.0,50.0,0,6.0
S0360,T05,Shopping cart,python,P3,claude-3.5-sonnet,5,159,1.0,50.0,0,6.0
S0401,T06,Task scheduler,python,P0,gpt-4o,1,36,2.67,63.54,12,2.0
S0402,T06,Task scheduler,python,P0,gpt-4o,2,36,2.67,59.67,12,0.5
S0403,T06,Task scheduler,python,P0,gpt-4o,3,36,2.67,63.54,12,0.5
S0404,T06,Task scheduler,python,P0,gpt-4o,4,36,2.67,63.54,12,0.0
S0405,T06,Task scheduler,python,P0,gpt-4o,5,36,2.67,59.67,12,1.0
S0406,T06,Task scheduler,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,12,1.0
S0407,T06,Task scheduler,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,12,1.0
S0408,T06,Task scheduler,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,12,1.0
S0409,T06,Task scheduler,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,12,0.5
S0410,T06,Task scheduler,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,12,1.0
S0411,T06,Task scheduler,python,P1,gpt-4o,1,60,2.0,55.6,27,1.0
S0412,T06,Task scheduler,python,P1,gpt-4o,2,60,2.0,52.43,27,2.0
S0413,T06,Task scheduler,python,P1,gpt-4o,3,60,2.0,55.6,27,2.5
S0414,T06,Task scheduler,python,P1,gpt-4o,4,60,2.0,55.6,27,1.5
S0415,T06,Task scheduler,python,P1,gpt-4o,5,60,2.0,52.43,27,1.0
S0416,T06,Task scheduler,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,1.5
S0417,T06,Task scheduler,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,2.0
S0418,T06,Task scheduler,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,3.0
S0419,T06,Task scheduler,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,3.0
S0420,T06,Task scheduler,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,2.0
S0421,T06,Task scheduler,python,P2,gpt-4o,1,117,1.0,50.0,0,4.5
S0422,T06,Task scheduler,python,P2,gpt-4o,2,117,1.0,50.0,0,5.0
S0423,T06,Task scheduler,python,P2,gpt-4o,3,117,1.0,50.0,0,5.0
S0424,T06,Task scheduler,python,P2,gpt-4o,4,117,1.0,50.0,0,6.0
S0425,T06,Task scheduler,python,P2,gpt-4o,5,117,1.0,50.0,0,5.5
S0426,T06,Task scheduler,python,P2,claude-3.5-sonnet,1,117,1.0,50.0,0,5.0
S0427,T06,Task scheduler,python,P2,claude-3.5-sonnet,2,117,1.0,50.0,0,4.5
S0429,T06,Task scheduler,python,P2,claude-3.5-sonnet,4,117,1.0,50.0,0,5.0
S0430,T06,Task scheduler,python,P2,claude-3.5-sonnet,5,117,1.0,50.0,0,5.0
S0431,T06,Task scheduler,python,P3,gpt-4o,1,162,1.0,50.0,0,5.0
S0432,T06,Task scheduler,python,P3,gpt-4o,2,162,1.0,50.0,0,6.0
S0433,T06,Task scheduler,python,P3,gpt-4o,3,162,1.0,50.0,0,6.0
S0434,T06,Task scheduler,python,P3,gpt-4o,4,162,1.0,50.0,0,5.0
S0435,T06,Task scheduler,python,P3,gpt-4o,5,162,1.0,50.0,0,6.0
S0436,T06,Task scheduler,python,P3,claude-3.5-sonnet,1,162,1.0,50.0,0,5.0
S0437,T06,Task scheduler,python,P3,claude-3.5-sonnet,2,162,1.0,50.0,0,6.0
S0438,T06,Task scheduler,python,P3,claude-3.5-sonnet,3,162,1.0,50.0,0,6.0
S0439,T06,Task scheduler,python,P3,claude-3.5-sonnet,4,162,1.0,50.0,0,6.0
S0440,T06,Task scheduler,python,P3,claude-3.5-sonnet,5,162,1.0,50.0,0,5.5
S0481,T07,Caching system,python,P0,gpt-4o,1,36,2.67,63.54,12,0.5
S0482,T07,Caching system,python,P0,gpt-4o,2,36,2.67,59.67,12,1.0
S0483,T07,Caching system,python,P0,gpt-4o,3,36,2.67,63.54,12,1.0
S0484,T07,Caching system,python,P0,gpt-4o,4,36,2.67,63.54,12,0.0
S0485,T07,Caching system,python,P0,gpt-4o,5,36,2.67,59.67,12,1.0
S0486,T07,Caching system,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,12,0.0
S0487,T07,Caching system,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,12,1.0
S0488,T07,Caching system,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,12,0.0
S0489,T07,Caching system,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,12,1.0
S0490,T07,Caching system,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,12,1.0
S0491,T07,Caching system,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0492,T07,Caching system,python,P1,gpt-4o,2,60,2.0,52.43,27,2.0
S0493,T07,Caching system,python,P1,gpt-4o,3,60,2.0,55.6,27,1.5
S0494,T07,Caching system,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0495,T07,Caching system,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0496,T07,Caching system,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.0
S0497,T07,Caching system,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,2.0
S0498,T07,Caching system,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,2.0
S0499,T07,Caching system,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,1.5
S0500,T07,Caching system,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,1.0
S0501,T07,Caching system,python,P2,gpt-4o,1,117,1.0,50.0,0,4.5
S0502,T07,Caching system,python,P2,gpt-4o,2,117,1.0,50.0,0,4.5
S0503,T07,Caching system,python,P2,gpt-4o,3,117,1.0,50.0,0,6.0
S0504,T07,Caching system,python,P2,gpt-4o,4,117,1.0,50.0,0,5.5
S0505,T07,Caching system,python,P2,gpt-4o,5,117,1.0,50.0,0,5.0
S0506,T07,Caching system,python,P2,claude-3.5-sonnet,1,117,1.0,50.0,0,4.5
S0507,T07,Caching system,python,P2,claude-3.5-sonnet,2,117,1.0,50.0,0,4.5
S0508,T07,Caching system,python,P2,claude-3.5-sonnet,3,117,1.0,50.0,0,5.0
S0509,T07,Caching system,python,P2,claude-3.5-sonnet,4,117,1.0,50.0,0,5.5
S0510,T07,Caching system,python,P2,claude-3.5-sonnet,5,117,1.0,50.0,0,5.0
S0511,T07,Caching system,python,P3,gpt-4o,1,162,1.0,50.0,0,6.0
S0512,T07,Caching system,python,P3,gpt-4o,2,162,1.0,50.0,0,6.5
S0513,T07,Caching system,python,P3,gpt-4o,3,162,1.0,50.0,0,5.5
S0514,T07,Caching system,python,P3,gpt-4o,4,162,1.0,50.0,0,6.0
S0515,T07,Caching system,python,P3,gpt-4o,5,162,1.0,50.0,0,6.0
S0516,T07,Caching system,python,P3,claude-3.5-sonnet,1,162,1.0,50.0,0,5.0
S0517,T07,Caching system,python,P3,claude-3.5-sonnet,2,162,1.0,50.0,0,6.5
S0518,T07,Caching system,python,P3,claude-3.5-sonnet,3,162,1.0,50.0,0,6.0
S0519,T07,Caching system,python,P3,claude-3.5-sonnet,4,162,1.0,50.0,0,6.0
S0520,T07,Caching system,python,P3,claude-3.5-sonnet,5,162,1.0,50.0,0,6.5
S0561,T08,Event bus,python,P0,gpt-4o,1,36,2.67,63.54,11,0.0
S0562,T08,Event bus,python,P0,gpt-4o,2,36,2.67,59.67,11,0.0
S0563,T08,Event bus,python,P0,gpt-4o,3,36,2.67,63.54,11,1.0
S0564,T08,Event bus,python,P0,gpt-4o,4,36,2.67,63.54,11,1.0
S0565,T08,Event bus,python,P0,gpt-4o,5,36,2.67,59.67,11,1.0
S0566,T08,Event bus,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,11,0.5
S0567,T08,Event bus,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,11,0.5
S0568,T08,Event bus,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,11,0.5
S0569,T08,Event bus,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,11,1.0
S0570,T08,Event bus,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,11,1.0
S0571,T08,Event bus,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0572,T08,Event bus,python,P1,gpt-4o,2,60,2.0,52.43,27,2.0
S0573,T08,Event bus,python,P1,gpt-4o,3,60,2.0,55.6,27,2.0
S0574,T08,Event bus,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0575,T08,Event bus,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0576,T08,Event bus,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.0
S0577,T08,Event bus,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,2.0
S0578,T08,Event bus,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,3.0
S0579,T08,Event bus,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0580,T08,Event bus,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,2.0
S0581,T08,Event bus,python,P2,gpt-4o,1,116,1.0,50.0,0,5.5
S0582,T08,Event bus,python,P2,gpt-4o,2,116,1.0,50.0,0,4.5
S0583,T08,Event bus,python,P2,gpt-4o,3,116,1.0,50.0,0,5.0
S0584,T08,Event bus,python,P2,gpt-4o,4,116,1.0,50.0,0,5.0
S0585,T08,Event bus,python,P2,gpt-4o,5,116,1.0,50.0,0,6.0
S0586,T08,Event bus,python,P2,claude-3.5-sonnet,1,116,1.0,50.0,0,6.0
S0587,T08,Event bus,python,P2,claude-3.5-sonnet,2,116,1.0,50.0,0,5.5
